owner,cablesystem,region,SHAPE__Length,shortname,objectid,SHAPE__Area,status
AT&T Corp,Americas II,East Coast,108697.599067727,Americas II 12,1,3692268.78287065,In Service
GCI Communication Corp,AU-Aleutian Submarine Cable System,Pacific Northwest,1129434.70407587,AU-Aleutian A,2,59147025.5701272,In Service
GCI Communication Corp,AU-Aleutian Submarine Cable System,Pacific Northwest,538208.941786863,AU-Aleutian B,3,28745861.3646737,In Service
GCI Communication Corp,AU-Aleutian Submarine Cable System,Pacific Northwest,907186.773386604,AU-Aleutian C,4,49058681.1001504,In Service
GCI Communication Corp,AU-Aleutian Submarine Cable System,Pacific Northwest,1326129.98874575,AU-Aleutian D,5,74089227.9109432,In Service
GCI Communication Corp,AU-Aleutian Submarine Cable System,Pacific Northwest,583757.167942325,AU-Aleutian E,6,33415123.0391271,In Service
GCI Communication Corp,AU-Aleutian Submarine Cable System,Pacific Northwest,91449.4783021393,AU-Aleutian F,7,4751942.73674987,In Service
GCI Communication Corp,AU-Aleutian Submarine Cable System,Pacific Northwest,3996.67309103789,AU-Aleutian G,8,201862.642404455,In Service
GCI Communication Corp,AU-Aleutian Submarine Cable System,Pacific Northwest,4325.25541965511,AU-Aleutian H,9,223620.55518344,In Service
GCI Communication Corp,AU-Aleutian Submarine Cable System,Pacific Northwest,3311.38928353232,AU-Aleutian I,10,179224.90338151,In Service
GCI Communication Corp,AU-Aleutian Submarine Cable System,Pacific Northwest,2514.66114110333,AU-Aleutian J,11,133685.797247195,In Service
GU Holdings Inc,Curie,West Coast,1274007.14615703,Curie 1.1,12,46186616.5743059,In Service
Eversource Energy,Eversource HEEC Cable,East Coast,10111.1441552573,Eversource,13,412285.08210812,In Service
GU Holdings Inc,Firmina,East Coast,1006081.05355044,Firmina,14,36427384.0707461,In Service
GU Holdings Inc,Grace Hopper,East Coast,1493252.13857506,Grace Hopper,15,59139244.8171426,In Service
Hawaiian Telcom Inc,Hawaiian Islands Fiber Network,Pacific Islands,973298.97991137,HIFN,16,31868286.9991616,In Service
NTT America Inc,JUPITER System,West Coast,3342601.8888378,JUPITER,17,125510846.694137,In Service
GU Holdings Inc,Pacific Light Cable Network,West Coast,1699826.3576784,PLCN 1.1.1,20,62601739.3554667,In Service
Orsted,Revolution Wind OSS1,East Coast,166903.532402238,RW-1,21,6773446.76337991,Planned
Orsted,Revolution Wind OSS1,East Coast,34078.8313983031,RW-3,22,1374556.03989391,Planned
Orsted,Revolution Wind OSS2,East Coast,167255.926860552,RW-2,23,6787915.99839279,Planned
Seabras 1 USA LLC,Seabras 1,East Coast,1126007.95232226,Seabras 1,24,43963647.8525631,In Service
Orsted,South Fork Wind Export Cable,East Coast,263747.31977137,SFEC,25,10662210.8192714,In Service
Avangrid,Vineyard Wind 1 HVDC Cable EAST,East Coast,172335.693246083,VW1 East,26,6994379.63070981,In Service
Avangrid,Vineyard Wind 1 HVDC Cable WEST,East Coast,172295.472772276,VW1 West,27,6993076.9315829,In Service
América Móvil,America Movil Submarine Cable System,East Coast,140967.180217141,AMX1,28,4771833.29979103,In Service
Telxius,Pacific Caribbean Cable System,Caribbean,249605.02809939,PCCS 2A,29,8064663.61950164,In Service
AT&T Corp,Taino-Carib Cable System,Caribbean,268676.19976974,Taino-Carib,30,8676584.62056665,In Service
AT&T Corp,"Saint Thomas - Saint Croix Cable System",Caribbean,143192.686332544,STSC,31,4588587.67702943,In Service
AT&T Corp,"Saint Thomas - Saint Croix Cable System",Caribbean,173898.706484794,STSC,32,5576436.31285837,In Service
AT&T Corp,Columbus II Cable System,Caribbean,202524.776719897,Columbus II,33,6529323.53821125,In Service
AT&T Corp,Americas 1 North - Columbus II B,Caribbean,177160.453414529,Americas 1 North,34,5707847.02779108,In Service
